Date,PlayerID,Points,CLPoints
2026-08-03,118,49250,23000
2026-08-03,90,44000,33000
2026-08-03,666,37250,11000
2026-08-03,2166,36850,4000
2026-08-03,1981,35300,6000
2026-08-03,158,30750,4000
2026-08-03,1257,30250,4000
2026-08-03,546,29750,6000
2026-08-03,1383,29200,6000
2026-08-03,208,28500,11000
2026-08-03,2470,27800,2000
2026-08-03,608,27750,9000
2026-08-03,1108,25750,2000
2026-08-03,1417,25300,2000
2026-08-03,2611,25200,6000
2026-08-03,22,24850,0
2026-08-03,47,24800,2000
2026-08-03,93,24750,6000
2026-08-03,2320,24600,9000
2026-08-03,1160,23600,1000
2026-08-03,32,22100,0
2026-08-03,125,21800,1000
2026-08-03,1407,21750,6000
2026-08-03,81,21000,8000
2026-08-03,2,20250,4000
2026-08-03,2438,19600,2000
2026-08-03,2498,19250,8000
2026-08-03,30,19250,1000
2026-08-03,1889,19200,4000
2026-08-03,89,18850,4000
2026-08-03,605,18600,1000
2026-08-03,45,18200,2000
2026-08-03,2640,18200,2000
2026-08-03,101,18200,6000
2026-08-03,8,18100,0
2026-08-03,58,17700,0
2026-08-03,62,17300,1000
2026-08-03,2758,16100,5000
2026-08-03,106,15200,2000
2026-08-03,906,15000,5000
2026-08-03,85,14500,4000
2026-08-03,1923,14200,0
2026-08-03,905,14200,1000
2026-08-03,1045,14100,1000
2026-08-03,67,13700,5000
2026-08-03,3534,13700,1000
2026-08-03,898,13200,0
2026-08-03,4,12600,5000
2026-08-03,2634,12200,0
2026-08-03,2379,11800,2000
2026-08-03,1465,11800,1000
2026-08-03,4148,11700,2000
2026-08-03,109,11700,0
2026-08-03,1835,11600,1000
2026-08-03,216,11100,2000
2026-08-03,2607,11100,1000
2026-08-03,894,10700,6000
2026-08-03,3461,10700,1000
2026-08-03,724,10600,0
2026-08-03,49,10500,1000
2026-08-03,592,10300,2000
2026-08-03,217,10250,2000
2026-08-03,96,10100,2000
2026-08-03,2066,10000,2000
2026-08-03,10,10000,2000
2026-08-03,9,10000,2000
2026-08-03,1261,10000,2000
2026-08-03,87,10000,5000
2026-08-03,1038,9500,2000
2026-08-03,2103,9000,0
2026-08-03,68,9000,1000
2026-08-03,1149,8700,0
2026-08-03,998,8500,1000
2026-08-03,1323,8300,0
2026-08-03,2797,8000,0
2026-08-03,146,8000,1000
2026-08-03,448,8000,0
2026-08-03,1893,7600,5000
2026-08-03,959,7500,0
2026-08-03,2628,7200,0
2026-08-03,680,7200,2000
2026-08-03,2754,7100,2000
2026-08-03,2887,7100,0
2026-08-03,21,7000,0
2026-08-03,120,7000,2000
2026-08-03,25,6600,1000
2026-08-03,3071,6500,2000
2026-08-03,593,6500,0
2026-08-03,48,6500,4000
2026-08-03,2439,6000,2000
2026-08-03,2778,6000,1000
2026-08-03,550,5500,0
2026-08-03,552,5500,1000
